Hex Code,Character,Name,Shortened Name
F09FABA1,🫡,SALUTING FACE,SALUTING FACE
F09FA684,🦄,UNICORN FACE,UNICORN FACE
F09FA5B4,🥴,FACE WITH UNEVEN EYES AND WAVY MOUTH,FACE WITH UNEVE...
F09FA5B1,🥱,YAWNING FACE,YAWNING FACE
F09FA5B0,🥰,SMILING FACE WITH SMILING EYES AND THREE HEARTS,SMILING FACE WI...
F09FA4B7,🤷,SHRUG,SHRUG
F09FA4AF,🤯,SHOCKED FACE WITH EXPLODING HEAD,SHOCKED FACE WI...
F09FA4AE,🤮,FACE WITH OPEN MOUTH VOMITING,FACE WITH OPEN ...
F09FA4AC,🤬,SERIOUS FACE WITH SYMBOLS COVERING MOUTH,SERIOUS FACE WI...
F09FA4AA,🤪,GRINNING FACE WITH ONE LARGE AND ONE SMALL EYE,GRINNING FACE W...
F09FA4A9,🤩,GRINNING FACE WITH STAR EYES,GRINNING FACE W...
F09FA4A8,🤨,FACE WITH ONE EYEBROW RAISED,FACE WITH ONE E...
F09FA4A3,🤣,ROLLING ON THE FLOOR LAUGHING,ROLLING ON THE ...
F09FA4A1,🤡,CLOWN FACE,CLOWN FACE
F09FA49D,🤝,HANDSHAKE,HANDSHAKE
F09FA497,🤗,HUGGING FACE,HUGGING FACE
F09FA494,🤔,THINKING FACE,THINKING FACE
F09FA493,🤓,NERD FACE,NERD FACE
F09F998F,🙏,PERSON WITH FOLDED HANDS,PERSON WITH FOL...
F09F998A,🙊,SPEAK-NO-EVIL MONKEY,SPEAK-NO-EVIL M...
F09F9989,🙉,HEAR-NO-EVIL MONKEY,HEAR-NO-EVIL MO...
F09F9988,🙈,SEE-NO-EVIL MONKEY,SEE-NO-EVIL MON...
F09F98B4,😴,SLEEPING FACE,SLEEPING FACE
F09F98B1,😱,FACE SCREAMING IN FEAR,FACE SCREAMING ...
F09F98AD,😭,LOUDLY CRYING FACE,LOUDLY CRYING F...
F09F98A8,😨,FEARFUL FACE,FEARFUL FACE
F09F98A2,😢,CRYING FACE,CRYING FACE
F09F98A1,😡,POUTING FACE,POUTING FACE
F09F9898,😘,FACE THROWING A KISS,FACE THROWING A...
F09F9890,😐,NEUTRAL FACE,NEUTRAL FACE
F09F988E,😎,SMILING FACE WITH SUNGLASSES,SMILING FACE WI...
F09F988D,😍,SMILING FACE WITH HEART-SHAPED EYES,SMILING FACE WI...
F09F9888,😈,SMILING FACE WITH HORNS,SMILING FACE WI...
F09F9887,😇,SMILING FACE WITH HALO,SMILING FACE WI...
F09F9881,😁,GRINNING FACE WITH SMILING EYES,GRINNING FACE W...
F09F97BF,🗿,MOYAI,MOYAI
F09F9695,🖕,REVERSED HAND WITH MIDDLE FINGER EXTENDED,REVERSED HAND W...
F09F958A,🕊,DOVE OF PEACE,DOVE OF PEACE
F09F94A5,🔥,FIRE,FIRE
F09F92AF,💯,HUNDRED POINTS SYMBOL,HUNDRED POINTS ...
F09F92A9,💩,PILE OF POO,PILE OF POO
F09F9298,💘,HEART WITH ARROW,HEART WITH ARRO...
F09F9294,💔,BROKEN HEART,BROKEN HEART
F09F928B,💋,KISS MARK,KISS MARK
F09F928A,💊,PILL,PILL
F09F9285,💅,NAIL POLISH,NAIL POLISH
F09F91BE,👾,ALIEN MONSTER,ALIEN MONSTER
F09F91BB,👻,GHOST,GHOST
F09F918F,👏,CLAPPING HANDS SIGN,CLAPPING HANDS ...
F09F918E,👎,THUMBS DOWN SIGN,THUMBS DOWN SIG...
F09F918D,👍,THUMBS UP SIGN,THUMBS UP SIGN
F09F918C,👌,OK HAND SIGN,OK HAND SIGN
F09F9180,👀,EYES,EYES
F09F90B3,🐳,SPOUTING WHALE,SPOUTING WHALE
F09F8F86,🏆,TROPHY,TROPHY
F09F8E89,🎉,PARTY POPPER,PARTY POPPER
F09F8E85,🎅,FATHER CHRISTMAS,FATHER CHRISTMA...
F09F8E84,🎄,CHRISTMAS TREE,CHRISTMAS TREE
F09F8E83,🎃,JACK-O-LANTERN,JACK-O-LANTERN
F09F8DBE,🍾,BOTTLE WITH POPPING CORK,BOTTLE WITH POP...
F09F8D93,🍓,STRAWBERRY,STRAWBERRY
F09F8D8C,🍌,BANANA,BANANA
F09F8CAD,🌭,HOT DOG,HOT DOG
F09F8C9A,🌚,NEW MOON WITH FACE,NEW MOON WITH F...
F09F8692,🆒,SQUARED COOL,SQUARED COOL
E29DA4,❤,HEAVY BLACK HEART,HEAVY BLACK HEA...
E29C8D,✍,WRITING HAND,WRITING HAND
E29AA1,⚡,HIGH VOLTAGE SIGN,HIGH VOLTAGE SI...
E29883,☃,SNOWMAN,SNOWMAN
5C5530,,INVALID CODE,INVALID CODE
